id_pedido;cliente;restaurante;categoria;data_pedido;valor_pedido;taxa_entrega;desconto;quantidade_itens;forma_pagamento;status;cidade
1;Cliente_549;Churrasco Grill;Hamburguer;03/09/2024;42.85;8.85;;4;Pix;Entregue;Belo Horizonte
2;Cliente_1543;Cantina Italiana;Pizza;06/10/2024;39.07;4.33;10.0;4;Dinheiro;Saiu para entrega;Salvador
3;Cliente_2650;Tempero Caseiro;Hamburguer;08/02/2024;76.21;10.11;5.0;2;pix;Em preparo;Salvador
4;Cliente_1466;Pastel & Cia;Churrasco;12-23-2024;102.64;5.14;5.0;3;Cartao Debito;Entregue;Curitiba
5;Cliente_2387;Tempero Caseiro;Açai;07/12/2024;29.39;3.08;5.0;4;Dinheiro;Cancelado;Curitiba
6;Cliente_575;Pizza_Mania;Brasileira;16/10/2024;52.5;10.72;;3;Cartao Debito;Em preparo;Salvador
7;Cliente_698;Tempero Caseiro;Brasileira;21/02/2024;79.92;6.29;5.0;2;Dinheiro;Entregue;Curitiba
8;Cliente_951;Tempero Caseiro;Brasileira;27/01/2024;30.34;13.65;10.0;3;pix;Entregue;São Paulo
9;Cliente_876;Cantina Italiana;Salgados;08/09/2024;81.14;7.83;;3;Pix;Cancelado;Belo Horizonte
10;Cliente_918;Churrasco Grill;Hamburguer;03/09/2024;28.99;7.99;5.0;2;Cartão Crédito;Cancelado;Belo Horizonte
11;Cliente_2759;Tempero Caseiro;Churrasco;19/06/2024;23.09;5.78;;1;pix;Cancelado;São Paulo
12;Cliente_1466;Cantina Italiana;Brasileira;02/10/2024;87.33;13.28;0.0;2;Dinheiro;Em preparo;Curitiba
13;Cliente_1286;   - Tropical;Italiana;12/12/2024;27.19;4.71;0.0;1;Dinheiro;Cancelado;Salvador
14;Cliente_25;Cantina Italiana;Churrasco;11/06/2024;81.88;11.8;10.0;4;Dinheiro;Cancelado;Salvador
15;Cliente_1118;Burger House;Churrasco;07/04/2024;138.55;12.19;;3;Cartao Debito;Cancelado;Curitiba
16;Cliente_2648;Cantina Italiana;Açai;30/11/2024;135.41;4.41;;1;Cartao Debito;Cancelado;Curitiba
17;Cliente_2628;Burger House;Brasileira;07/05/2024;92.08;4.2;5.0;2;Cartão Crédito;Cancelado;Rio de Janeiro
18;Cliente_636;Cantina Italiana;Açai;11-17-2024;92.08;13.11;0.0;2;Cartao Debito;Saiu para entrega;São Paulo
19;Cliente_2747;Pastel & Cia;Salgados;13/07/2024;21.71;11.56;;3;Cartão Crédito;Em preparo;São Paulo
20;Cliente_2937;   - Tropical;Churrasco;05/11/2024;43.48;4.98;0.0;1;Pix;Cancelado;Curitiba
21;Cliente_1936;Churrasco Grill;Pizza;16/10/2024;36.84;14.42;10.0;3;Cartao Debito;Cancelado;São Paulo
22;Cliente_2282;Cantina Italiana;Brasileira;09/02/2024;145.35;3.47;10.0;2;Cartão Crédito;Saiu para entrega;São Paulo
23;Cliente_2538;Pastel & Cia;Hamburguer;08/09/2024;129.62;10.71;5.0;1;Dinheiro;Cancelado;Salvador
24;Cliente_2910;Tempero Caseiro;Japonesa;04/11/2024;73.08;13.15;5.0;3;Cartão Crédito;Cancelado;Belo Horizonte
25;Cliente_2466;Sushi Express;Salgados;10-20-2024;113.2;9.42;0.0;3;pix;Entregue;Curitiba
26;Cliente_432;   - Tropical;Pizza;20/09/2024;34.78;11.51;5.0;3;Cartao Debito;Cancelado;Belo Horizonte
27;Cliente_2687;Churrasco Grill;Churrasco;16/08/2024;35.29;11.62;10.0;2;Cartão Crédito;Cancelado;Curitiba
28;Cliente_1697;Pizza_Mania;Japonesa;10/02/2024;96.89;8.71;5.0;4;Cartao Debito;Em preparo;Curitiba
29;Cliente_2186;Tempero Caseiro;Açai;29/05/2024;33.88;14.41;0.0;2;Dinheiro;Em preparo;Rio de Janeiro
30;Cliente_330;Churrasco Grill;Hamburguer;04/01/2024;44.03;3.46;0.0;2;Dinheiro;Entregue;Curitiba
31;Cliente_1620;Pizza_Mania;Salgados;14/05/2024;142.52;11.59;10.0;3;Cartao Debito;Em preparo;São Paulo
32;Cliente_1112;Churrasco Grill;Italiana;02/12/2024;36.34;10.32;5.0;3;Dinheiro;Em preparo;Belo Horizonte
33;Cliente_2654;Cantina Italiana;Açai;08-26-2024;25.13;3.46;;4;Cartão Crédito;Cancelado;São Paulo
34;Cliente_2488;Pizza_Mania;Churrasco;11/06/2024;149.81;3.35;10.0;4;Pix;Entregue;Rio de Janeiro
35;Cliente_1714;Pizza_Mania;Salgados;12/08/2024;88.37;10.02;10.0;1;Cartao Debito;Saiu para entrega;Salvador
36;Cliente_1465;Sushi Express;Pizza;08-26-2024;47.41;11.52;5.0;1;Dinheiro;Cancelado;Curitiba
37;Cliente_2527;Sushi Express;Churrasco;02-21-2024;102.28;11.66;0.0;4;Pix;Entregue;São Paulo
38;Cliente_18;Tempero Caseiro;Churrasco;26/11/2024;146.12;5.55;0.0;3;Cartão Crédito;Em preparo;Salvador
39;Cliente_1174;   - Tropical;Churrasco;27/09/2024;69.15;5.07;;3;pix;Em preparo;Curitiba
